FIPS,Number,lon,lat,StreetAddress,City,State,ZipCode,LocationName,LocationType,CountyName
26065,729837,-84.536061,42.664347,5840 Enterprise Drive,Lansing,MI,48911-4107,"Upper Midwest Water Science Center - Lansing, Mich., Field Office",Field Station,Ingham
26141,928790,-84.037829,45.493835,11188 Ray Rd,Millersbug,MI,49759,Hammond Bay Biological Station,Field Station,Ottawa
26161,721694,-83.6931423,42.2940172,1451 Green Road,Ann Arbor,MI,48105,Great Lakes Science Center,Science Center,Washtenaw
27123,721722,-93.2012236,45.0972,2280 Woodale Drive,Mounds View,MN,55112,"Upper Midwest Water Science Center - Mounds View, Minn., Office",Science Center,Ramsey
28121,721730,-90.072458,32.274354,308 Airport Road,Jackson,MS,39208,"Lower Mississippi-Gulf Water Science Center - Jackson, MS Office",Science Center,Rankin
29019,721674,-92.273384,38.91237,4200 New Haven Road,Columbia,MO,65201-8709,Columbia Environmental Research Center,Science Center,Boone
29161,721718,-91.7439954,37.953832,1400 Independence Road,Rolla,MO,65401,Missouri Water Science Center,Science Center,Pettis
29161,909521,-91.7439954,37.953832,1400 Independence Road,Rolla,MO,65401,CEGIS - Missouri,Other Facilities,Pettis
29161,929207,-91.7439954,37.953832,1400 Independence Road,Rolla,MO,65401,"National Geospatial Technical Operations Center - Rolla, MO",Science Center,Pettis
29189,926168,-90.3747,38.6746,9351 Industrial Center,Olivette,MO,63132,Eastern Missouri - Olivette,Field Station,St. Louis
30029,718313,-113.9824431,48.4963369,PO Box 169,West Glacier,MT,59936,Northern Rocky Mountain Science Center (NOROCK) West Glacier Field Station,Field Station,Flathead
30031,718312,-111.05085,45.65611,2327 University Way,Bozeman,MT,59715,Northern Rocky Mountain Science Center (NOROCK) Headquarters,Science Center,Gallatin
30049,721773,-111.9802399,46.6001346,3162 Bozeman Avenue,Helena,MT,59601,Wyoming-Montana Water Science Center - Helena Office,Science Center,Lewis and Clark
30049,908376,-111.9790595,46.6004601,3162 Bozeman Avenue,Helena,MT,59601,Helena Montana,Science Center,Lewis and Clark
30063,718314,-113.9976663,46.8565286,Aldo Leopold Wilderness Research Institute,Missoula,MT,59801,Northern Rocky Mountain Science Center (NOROCK) Missoula Field Station,Field Station,Missoula
31109,721318,-96.694861,40.7617954,5231 South 19th Street,Lincoln,NE,68512-1271,Nebraska Water Science Center,Science Center,Lancaster
31111,735997,-100.7599595,41.1351774,303 East 3rd Street,North Platte,NE,69101,North Platte Field Office,Field Station,Lincoln
32003,902591,-115.0467693,36.0363579,160 N. Stephanie St.,Henderson,NV,89074,Nevada Water Science Center Henderson Office,Field Station,Clark
32003,732448,-115.0450004,36.0373762,160 N Stephanie,Henderson,NV,89074,Western Ecological Research Center - Henderson Field Station ,Field Station,Clark
32510,721587,-119.7019435,39.1766747,2730 N. Deer Run Road,Carson City,NV,89701,Nevada Water Science Center,Science Center,Carson City
33013,721330,-71.4794196,43.1889155,361 Commerce Way,Pembroke,NH,03275-3718,New England Water Science Center - New Hampshire/Vermont Office,Science Center,Merrimack
34021,721327,-74.706221,40.29488,3450 Princeton Pike,Lawrenceville,NJ,8648,New Jersey Water Science Center,Science Center,Mercer
35001,943748,-106.692859,34.924035,Target Road 10002 Isleta SE,Kirtland AFB,NM,87117,Albuquerque Seismological Laboratory,Laboratory,Bernalillo
35001,721673,-106.622038,35.155135,6700 Edith Blvd NE,Albuquerque,NM,87113,New Mexico Water Science Center,Science Center,Bernalillo
35005,911807,-104.5654812,33.3949683,2909 W 2nd St.,Roswell,NM,88201,Roswell Field Office,Field Station,Chaves
35043,723437,-106.3220515,35.7650567,Bandelier National Monument,Los Alamos,NM,87544,New Mexico Landscapes Field Station,Science Center,Sandoval
36023,928800,-76.244902,42.555544,3075 Gracie Road,Cortland,NY,13045-9457,Tunison Laboratory of Aquatic Science,Field Station,Cortland
36075,928796,-76.5243247,43.4609551,17 Lake St.,Oswego,NY,13126-1025,Lake Ontario Biological Station,Field Station,Oswego
36083,722006,-73.6965193,42.6810219,425 Jordan Road,Troy,NY,12180-8349,New York Water Science Center - Troy Program Office,Science Center,Rensselaer
36089,732086,-74.9894381,44.6703629,22 Depot Street,Potsdam,NY,13676,New York Water Science Center - Potsdam Field Office,Field Station,St. Lawrence
36103,731807,-73.046761,40.924565,2045 Route 112,Coram,NY,11727,New York Water Science Center - Coram Program Office,Program Office,Suffolk
36103,915153,-73.0170967,40.7550591,120 Laurel Street,Patchogue,NY,11772,"Fire Island, NY",Regional Office,Suffolk
36109,731798,-76.464412,42.487506,30 Brown Road,Ithaca,NY,14850,New York Water Science Center - Ithaca Program Office,Program Office,Tompkins
37021,726670,-82.518007,35.459553,44 Buck Shoals Road,Asheville,NC,28704-3307,South Atlantic Water Science Center - North Carolina: Asheville Field Office,Field Station,Buncombe
37119,726673,-80.8822942,35.1650087,810 Tyvola Road,Charlotte,NC,28217,South Atlantic Water Science Center - North Carolina: Charlotte Field Office,Field Station,Mecklenburg
37183,721752,-78.7058754,35.8128037,3916 Sunset Ridge Road,Raleigh,NC,27607,"South Atlantic Water Science Center - Raleigh, NC Office",Science Center,Wake
37183,723464,-78.6253,35.7977,127 David Clark Labs,Raleigh,NC,27695,Southeast Climate Adaptation Science Center,Science Center,Wake
38015,721702,-100.802234,46.832435,821 East Interstate Avenue,Bismarck,ND,58503,Dakota Water Science Center- Bismarck,Science Center,Burleigh
38035,743769,-97.046688,47.8894144,4575 32nd Ave South,Grand Forks,ND,58201,Dakota Water Science Center- Grand Forks Field Office,Science Center,Grand Forks
38093,721723,-98.627406,46.878161,8711 37th Street Southeast,Jamestown,ND,58401-7317,Northern Prairie Wildlife Research Center,Science Center,Stark
39043,928793,-82.7088842,41.4513272,6100 Columbus Ave.,Sandusky,OH,44870-8329,Lake Erie Biological Station,Field Station,Erie
39049,721732,-82.9927119,40.0881216,6460 Busch Blvd.,Columbus,OH,43229-1737,Ohio - Columbus Office,Science Center,Franklin
39049,723831,-82.9927119,40.0881216,6460 Busch Blvd,Columbus,OH,43229-1737,Ohio - Ohio Water Microbiology Laboratory (OWML),Laboratory,Franklin
39157,729820,-81.4557221,40.5046663,1515 Brightwood Rd SE,New Philadelphia,OH,44663,Ohio - New Philadelphia Field Office,Field Station,Tuscarawas
40027,723469,-97.439471,35.185146,201 Stephenson Parkway,Norman,OK,73072,South Central Climate Adaptation Science Center,Science Center,Cleveland
40109,721688,-97.5154156,35.5394814,202 NW 66th Street,Oklahoma City,OK,73116,Oklahoma Water Science Center,Science Center,Oklahoma
41003,904696,-123.2860965,44.5644972,3200 SW Jefferson Way,Corvallis,OR,97331,Forest and Rangeland Ecosystem Science Center (FRESC) Corvallis Research Group,Field Station,Benton
41003,915338,-123.2838822,44.563077,Oregon State University,Corvallis,OR,97331,Oregon Cooperative Fish And Wildlife Research Unit,Coop Unit,Benton
41003,943742,-123.2641487,44.571447,777 NW 9th St,Corvallis,OR,97330,Forest and Rangeland Ecosystem Science Center (FRESC) Headquarters,Science Center,Benton
41003,905140,-122.9912711,38.017769,Pt. Reyes National Seashore,Pt. Reyes,CA,94956,Western Ecological Research Center - Pt. Reyes Field Station,Field Station,Benton
41029,738800,-122.8754308,42.3855345,4890 N Runway Drive,Medford,OR,97502,Medford Field Office,Field Station,Jackson
41035,726668,-121.7541707,42.1813881,"2795 Anderson Ave., Suite 106",Klamath Falls,OR,97603-9572,Klamath Falls Field Station,Field Station,Klamath
41035,739082,-121.7541707,42.1813881,2795 Anderson Ave,Klamath Falls,OR,97603,Klamath Falls Field Office,Field Station,Klamath
41051,721670,-122.6827385,45.507576,2130 SW 5th Ave.,Portland,OR,97201,Oregon Water Science Center,Science Center,Multnomah
42003,912510,-80.108944,40.367795,1025 Washington Pike,Bridgeville,PA,15017-2702,Pittsburgh,Field Station,Allegheny
42029,912509,-75.7183,40.0161,408 Boot Road,Downingtown,PA,19335,Downingtown,Field Station,Chester
42081,912511,-77.0068906,41.2411169,439 Hepburn Street,Williamsport,PA,17701,Williamsport,Field Station,Lycoming
42117,741290,-77.308,41.7373,176 Straight Run Road,Wellsboro,PA,16901,LSC Northern Appalachian Research Laboratory,Laboratory,Tioga
42133,721325,-76.87456,40.214972,215 Limekiln Road,New Cumberland,PA,17070,Pennsylvania Water Science Center,Science Center,York
45019,727759,-79.8987565,32.7507986,219 Fort Johnson Road,Charleston,SC,29412,"South Atlantic Water Science Center - Charleston, SC Field Office",Field Station,Charleston
45079,721753,-81.0861958,34.0164475,720 Gracern Road,Columbia,SC,29210,"South Atlantic Water Science Center - Columbia, SC Office",Science Center,Richland
46005,743772,-98.212575,44.342883,111 Kansas Ave SE,Huron,SD,57350,Dakota Water Science Center- Huron Programs Office,Program Office,Beadle
46065,743773,-100.400566,44.4465598,28563 Powerhouse Rd,Pierre,SD,57501,Dakota Water Science Center- Pierre Field Office,Science Center,Hughes
46099,718233,-96.628126,43.732305,47914 252nd Street,Garretson,SD,57030,Earth Resources Observation and Science (EROS) Center,Science Center,Minnehaha
46103,743771,-103.607143,43.763372,1608 Mountain View,Rapid City,SD,57702,Dakota Water Science Center- Rapid City,Science Center,Pennington
46135,737265,-97.4765478,42.8743354,31247 436th Avenue,Yankton,SD,57078,"Yankton, South Dakota Field Research Station",Field Station,Yankton
47037,721319,-86.7497424,36.0863925,640 Grassmere Park Drive,Nashville,TN,37211,"Lower Mississippi-Gulf Water Science Center - Nashville, TN Office",Science Center,Davidson
47093,729824,-83.981578,35.939793,4700 Old Kingston Pike,Knoxville,TN,37919,"Lower Mississippi-Gulf Water Science Center - Knoxville, TN Office",Field Station,Knox
48029,915673,-98.59142,29.563197,5563 DeZavala,San Antonio,TX,78249,South Texas Branch (San Antonio) Office,Field Station,Bexar
48141,915448,-106.3407835,31.7502884,10737 Gateway Blvd. West,El Paso,TX,79935,El Paso Field Office,Field Station,El Paso
48303,915340,-101.9771211,33.5138345,8802 Urbana Avenue,Lubbock,TX,79424,Lubbock Field Office,Field Station,Lubbock
48339,915342,-95.449169,30.183291,19241 David Memorial Drive,Conroe,TX,77385,Gulf Coast Branch (Houston) Office,Field Station,Montgomery
48355,915457,-97.323117,27.715361,6300 Ocean Drive,Corpus Christi,TX,78412,Corpus Christi Field Office,Field Station,Nueces
48439,915406,-97.3325034,32.6747705,Ft Worth Federal Center,Fort Worth,TX,76115,North Texas Branch (Fort Worth) Office,Field Station,Tarrant
48451,915456,-100.4547553,31.4294701,3745 S. Jackson Street,San Angelo,TX,76903,San Angelo Field Office,Field Station,Tom Green
48453,721685,-97.675916,30.345535,1505 Ferguson Lane,Austin,TX,78754,Texas Water Science Center,Science Center,Travis
48485,915405,-98.5868692,33.8729445,Midwestern State University,Wichita Falls,TX,76308,Wichita Falls Field Office,Field Station,Wichita
49005,915339,-111.8122309,41.7411504,Utah State University,Logan,UT,84322,Utah Cooperative Fish And Wildlife Research Unit,Coop Unit,Cache
49019,741494,-109.5518864,38.5701377,121 W 200 S,Moab,UT,84532,Moab Field Office,Field Station,Garfield
49019,723411,-109.50969,38.538794,2290 SW Resource Blvd,Moab,UT,84532,"Southwest Biological Science Center - Moab, UT, Research Station",Field Station,Garfield
49021,739300,-113.0895097,37.6844062,"401 N 2150 W, Suite 4",Cedar City,UT,84721,Cedar City Field Office,Field Station,Iron
49035,721682,-111.9507288,40.7186426,2329 West Orton Circle,West Valley City,UT,84119-2047,Utah Water Science Center,Science Center,Salt Lake
49035,741496,-111.95042,40.718648,2329 West Orton Circle,Salt Lake City,UT,84119,Salt Lake Field Office,Field Station,Salt Lake
51059,718316,-77.3701632,38.9480448,274 Ellington Plant Sciences Building,Knoxville,TN,37996,Northern Rocky Mountain Science Center (NOROCK) Southern Appalachian Duty Station,Duty Station,Fairfax
51059,718486,-77.3699775,38.947771,913 National Center,Reston,VA,20192,Mineral Resources Program Office,Program Office,Fairfax
51059,718226,-77.367453,38.947225,12201 Sunrise Valley Drive,Reston,VA,20192,U.S. Geological Survey Headquarters,Mission Office,Fairfax
51059,720843,-77.367453,38.947225,12201 Sunrise Valley Drive,Reston,VA,20192,National Climate Adaptation Science Center,Program Office,Fairfax
51059,723204,-77.367453,38.947225,12201 Sunrise Valley Drive,Reston,VA,21092,Florence Bascom Geoscience Center,Science Center,Fairfax
51059,943973,-77.367453,38.947225,12201 Sunrise Valley Drive,Reston,VA,20192,"USGS Water Mission Area Headquarters - Reston, VA",Mission Office,Fairfax
51059,721684,-77.3672364,38.9501387,12201 Sunrise Valley Drive,Reston,VA,20192,Eastern Energy Resources Science Center,Science Center,Fairfax
51059,721690,-77.3672364,38.9501387,12201 Sunrise Valley Drive,Reston,VA,20192,Eastern Mineral & Environmental Resources Science Center,Science Center,Fairfax
51059,737282,-77.3672364,38.9501387,12201 Sunrise Valley Dr,Reston,VA,20192,Cooperative Research Units Program Headquarters,Coop Unit,Fairfax
51059,912954,-77.3672364,38.9501387,12201 Sunrise Valley Drive,Reston,VA,20192,"Office of Budget, Planning, and Integration (BPI)",Program Office,Fairfax
51059,943749,-77.3672364,38.9501387,12201 Sunrise Valley Drive,Reston,VA,20192-0002,Energy and Minerals Mission Area Headquarters,Mission Office,Fairfax
51059,728226,-77.367236,38.950139,12201 Sunrise Valley Drive,Reston,VA,20192,Environmental Health Mission Area Headquarters,Mission Office,Fairfax
51059,721037,-77.3437437,38.9453943,12201 Sunrise Valley Drive,Reston,VA,20192,Office of Communications and Publishing,Headquarters,Fairfax
51059,722414,-77.3437437,38.9453943,"950 National Center, Room 1D100",Reston,VA,20192,USGS Reston Library - Clarence King Memorial Library (Main Library),Other Facilities,Fairfax
51059,722512,-77.3437437,38.9453943,12201 Sunrise Valley Drive,Reston,VA,20192,Land Remote Sensing Program,Program Office,Fairfax
51059,722536,-77.3437437,38.9453943,12201 Sunrise Valley Drive,Reston,VA,20192,Climate Research and Development Program Office,Program Office,Fairfax
51059,722537,-77.3437437,38.9453943,12201 Sunrise Valley Drive,Reston,VA,20192,Land Resources Mission Area Office,Mission Office,Fairfax
51059,722538,-77.3437437,38.9453943,12201 Sunrise Valley Drive,Reston,VA,20192,Land Change Science Program Office,Program Office,Fairfax
51059,725953,-77.3437437,38.9453943,12201 Sunrise Valley Drive,Reston,VA,20192,Office of Congressional Affairs,Headquarters,Fairfax
51059,726319,-77.3437437,38.9453943,12201 Sunrise Valley Dr,Reston,VA,72211,Eastern Geographic Science Center,Science Center,Fairfax
51059,914798,-77.3437437,38.9453943,U.S. Geological Survey 12201 Sunrise Valley Drive,Reston,VA,20192,Reston Stable Isotope Laboratory (RSIL),Laboratory,Fairfax
51059,718228,-77.343469,38.998014,988 National Center,Reston,VA,20192,National Minerals Information Center,Science Center,Fairfax
51087,721762,-77.47589,37.638725,1730 East Parham Road,Richmond,VA,23228,Virginia and West Virginia Water Science Center,Science Center,Henrico
51121,726674,-80.4282497,37.2298808,"304 Cheatham Hall, 0324",Blacksburg,VA,24061,Patuxent Wildlife Research Center - Virginia Polytechnic Institute,Field Station,Montgomery
53005,740535,-119.242264,46.212117,"9232 Clearwater Dr., Suite A",Kennewick,WA,99336,Mid-Columbia Field Office,Field Station,Benton
53009,904694,-123.434411,48.101583,600 East Park Avenue,Port Angeles,WA,98362,Forest and Rangeland Ecosystem Science Center (FRESC) Olympic Field Station,Field Station,Clallam
53033,904695,-122.3300624,47.6038321,"University of Washington, School of Environmental and Forest Sciences",Seattle,WA,98195-2100,Forest and Rangeland Ecosystem Science Center (FRESC) Cascadia Field Station,Field Station,King
53033,931665,-122.3300624,47.6038321,"Univ of Washington, Dept of Earth and Space Sciences",Seattle,WA,98195,Seattle Field Office,Field Station,King
53033,721337,-122.256469,47.6755,6505 NE 65th Street,Seattle,WA,98115-5016,Western Fisheries Research Center (WFRC),Science Center,King
53053,721334,-122.4405994,47.2552721,934 Broadway,Tacoma,WA,98402,Washington Water Science Center,Science Center,Pierce
53059,943743,-121.631972,45.763964,5501-A Cook Underwood Rd.,Cook,WA,98605-9717,Columbia River Research Laboratory,Laboratory,Skamania
53063,740536,-117.411098,47.657992,West 920 Riverside Avenue,Spokane,WA,99201,Upper Columbia Field Office,Field Station,Spokane
53073,738534,-122.5568603,48.8176964,"1350 Slater Road, Suite 5",Ferndale,WA,98248,Northwest Washington Field Office,Field Station,Whatcom
54037,723201,-77.9078235,39.3707169,11649 Leetown Road,Kearneysville,WV,25430,Leetown Science Center,Science Center,Jefferson
54037,741287,-77.8906815,39.3848873,11649 Leetown Road,Kearneysville,WV,25430,LSC Fish Health Laboratory,Laboratory,Jefferson
54037,741288,-77.8906815,39.3848873,11649 Leetown Road,Kearneysville,WV,25430,LSC Aquatic Ecology Laboratory,Laboratory,Jefferson
55003,928798,-90.8784158,46.5947929,2800 Lake Shore Dr. East,Ashland,WI,54806-2427,Lake Superior Biological Station,Field Station,Ashland
55025,575767,-89.532689,43.091883,8505 Research Way,Middleton,WI,53562,"Upper Midwest Water Science Center - Middleton, Wis., Office",Science Center,Dane
55025,575776,-89.5325418,43.0920107,8505 Research Way,Middleton,WI,53562,Mercury Research Laboratory,Laboratory,Dane
55025,721720,-89.4837458,43.0497065,6006 Schroeder Road,Madison,WI,53711-6223,National Wildlife Health Center,Science Center,Dane
55063,738507,-91.2611952,43.8656867,2630 Fanta Reed Road,La Crosse,WI,54603,Upper Midwest Environmental Sciences Center,Science Center,La Crosse
56001,915341,-105.5894932,41.3126773,University of Wyoming,Laramie,WY,82071,Wyoming Cooperative Fish And Wildlife Research Unit,Coop Unit,Albany
56039,718315,-110.748162,43.4797663,675 E. Broadway,jackson,WY,83001,Northern Rocky Mountain Science Center (NOROCK) Jackson Duty Station,Duty Station,Teton
56039,737270,-110.7366597,43.5343668,1475 Fish Hatchery Road,Jackson,WY,83001,"Jackson, Wyoming Field Research Station",Field Station,Teton
72061,721744,-66.1154,18.4288,651 Federal Drive,Guaynabo,,965,Caribbean-Florida Water Science Center - Puerto Rico Office,Science Center,Washakie
78020,722136,-64.758701,18.352138,1300 Cruz Bay Creek,St. John,VI,830,"Wetland and Aquatic Research Center - St. John, USVI",Field Station,Washakie
